55443399|320|11270.00
22334455|180|8064.00
44559933|150|6720.00
66778800|250|10500.00
99887733|220|7420.00
33448833|300|11880.00
44559944|270|12465.00
66779922|240|9600.00
99887766|280|12120.00
11223322|300|14490.00
55446677|150|7455.00
33447799|230|8741.50
99886622|250|11000.00
22338855|200|7450.00
66778844|250|10500.00
33447766|320|12600.00
44559988|250|9750.00
66779933|150|6270.00
99886677|220|9350.00
11228844|270|11340.00
55443377|160|7456.00
66779944|240|9600.00
99887788|290|8410.00
11228866|230|6670.00
55443399|200|9400.00
99886655|310|11700.00
11223355|250|10500.00
66778833|220|9620.00
22337744|180|7554.00
66779988|150|6270.00
99887744|320|13600.00
22337799|290|9435.00
33447722|270|7560.00
99887711|200|7340.00
22334477|270|7560.00
11223377|200|9200.00
99887766|250|10500.00
44557722|230|6679.00
66778855|150|6270.00
99886644|240|10080.00
33448877|300|11880.00
55443322|220|6820.00
66779955|200|8800.00
22338866|220|6820.00
44557766|290|9435.00
99887722|200|7340.00
33448899|250|10500.00
55446655|230|6670.00
22334466|280|10080.00
33447744|230|8741.50
66778899|270|11340.00
55446633|160|7456.00
33447755|290|9435.00
99887700|250|10500.00
11228833|290|9435.00
33447788|270|7560.00
44557799|220|6820.00
11228822|290|9435.00
55443399|300|11880.00
99886611|160|6720.00
33447733|180|8064.00
44557744|150|6270.00
66779911|320|13600.00
55446611|250|10500.00
11223377|220|9620.00
44559922|200|7340.00
99886622|250|9750.00
22337722|290|9435.00
99887788|300|11880.00
55446644|200|7340.00
99887755|240|9600.00
33447799|220|9620.00
11223311|230|8741.50
22337755|270|11340.00
99887733|250|10500.00
55443399|300|11880.00
99886655|280|12120.00
33447766|310|13450.00
44559944|250|10500.00
66778800|320|12600.00
99887766|220|9620.00
22338844|280|11340.00
66779922|250|10500.00
55443399|230|8741.50
22334455|220|6820.00
66778811|200|7340.00
99887799|240|10080.00
33447744|270|7560.00
55443322|200|7340.00
66779922|310|13450.00
99887733|250|10500.00
22337722|290|9435.00
66778855|160|6720.00
55446622|250|10500.00
44557733|200|7340.00
99887766|270|11340.00
33448833|240|9600.00
55443399|290|9435.00
66779933|270|7560.00
33447766|250|10500.00
99887755|300|11880.00
22334477|290|9435.00
55446644|220|6820.00
66779955|240|9600.00
99887722|250|10500.00
11223322|200|7340.00
66778833|230|8741.50
99887788|280|12120.00
33447788|250|10500.00
44559911|270|12465.00
55446611|250|10500.00
66778877|290|9435.00
99887700|280|12120.00
33447755|160|6720.00
44557711|200|7340.00
66779922|250|10500.00
55443399|250|10500.00
66778822|200|7340.00
99886677|270|7560.00
22337744|160|6720.00
33447733|200|7340.00
66779988|250|10500.00
99887744|270|7560.00
11228899|320|13600.00
66778811|240|9600.00
99887766|150|6270.00
33448800|250|10500.00
44559944|220|6820.00
66779911|200|7340.00
55443399|270|7560.00
33448833|220|6820.00
99887733|250|10500.00
22337799|280|11340.00
66778855|300|11880.00
99886644|160|6720.00
33448877|250|10500.00
55443322|200|7340.00
66779955|270|7560.00
22337722|250|10500.00
99887788|300|11880.00
33448899|240|9600.00
66779988|160|6720.00
99887744|270|7560.00
55443399|280|12120.00
11223311|220|9620.00
33447799|270|7560.00
99887788|300|11880.00
